	% 10/3/2018	
	% 8:20 AM
	% SAMPLE A mass: 91.767 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	0.000	93.520	22.317	22.449
	1.038	93.613	22.312	22.436
	2.049	93.452	22.321	22.444
	3.059	93.366	22.334	22.439
	4.069	93.502	22.338	22.452
	5.079	93.537	22.337	22.461
	6.090	93.343	22.312	22.455
	7.101	93.493	22.316	22.446
	8.111	93.361	22.301	22.423
	9.148	93.528	22.322	22.442
	10.172	93.534	22.314	22.440
	11.188	93.574	22.336	22.450
	12.198	93.650	22.347	22.438
	13.207	93.455	22.316	22.436
	14.216	93.496	22.312	22.439
	15.284	93.462	22.316	22.449
	16.294	93.519	22.318	22.442
	17.307	93.438	22.321	22.454
	18.319	93.439	22.298	22.446
	19.330	93.364	22.326	22.431
	20.355	93.384	22.337	22.427
	21.394	93.390	22.300	22.438
	22.406	93.454	22.319	22.441
	23.421	93.521	22.310	22.432
	24.438	93.476	22.308	22.430
	25.452	93.421	22.316	22.439
	26.468	93.436	22.318	22.434
	27.482	93.462	22.305	22.432
	28.495	93.450	22.297	22.425
	29.536	93.433	22.308	22.420
	30.560	93.427	22.303	22.444
	31.612	93.507	22.295	22.423
	32.640	93.456	22.305	22.430
	33.654	93.511	22.296	22.446
	34.671	93.469	22.296	22.448
	35.687	93.400	22.287	22.419
	36.710	93.357	22.284	22.415
	37.726	93.505	22.315	22.420
	38.746	93.319	22.286	22.418
	39.756	93.359	22.302	22.410
	40.771	93.574	22.307	22.397
	41.787	93.230	22.289	22.412
	42.801	93.361	22.293	22.407
	43.813	93.413	22.285	22.409
	44.828	93.364	22.299	22.415
	45.843	93.414	22.286	22.424
	46.858	93.364	22.285	22.407
	47.875	93.336	22.286	22.410
	48.897	93.318	22.285	22.414
	49.912	93.329	22.290	22.408
	50.939	93.330	22.266	22.401
	51.969	93.315	22.276	22.405
	52.985	93.342	22.280	22.399
