	% 10/3/2018	
	% 3:30 PM	
	% SAMPLE D mass: 142.398 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 	
	0.000	93.138	26.015	26.169
	8.536	93.375	25.997	26.144
	9.557	93.428	25.994	26.133
	10.573	93.366	26.009	26.143
	11.588	93.192	26.019	26.145
	12.603	93.200	26.013	26.140
	13.621	93.142	26.009	26.155
	14.638	93.223	25.996	26.134
	15.655	93.268	25.985	26.117
	16.673	93.259	26.004	26.160
	17.686	93.262	25.992	26.138
	18.702	93.252	25.993	26.137
	19.732	93.339	25.990	26.131
	20.749	93.312	26.002	26.129
	21.767	93.379	25.979	26.142
	22.801	93.164	26.008	26.115
	23.817	93.334	25.973	26.130
	24.857	93.338	26.004	26.115
	25.876	93.477	25.985	26.125
	26.894	93.538	25.992	26.128
	27.919	93.425	25.993	26.126
	28.938	93.514	26.001	26.129
	29.959	93.525	25.969	26.122
	30.977	93.474	25.988	26.143
	31.995	93.498	25.982	26.130
	33.019	93.382	25.986	26.096
	34.036	93.333	25.995	26.126
	35.096	93.106	25.986	26.122
	36.119	93.269	25.991	26.107
	37.136	93.476	25.983	26.127
	38.152	93.447	25.948	26.119
	39.176	93.434	25.974	26.102
	40.193	93.467	25.976	26.112
	41.223	93.478	25.978	26.110
	42.241	93.318	25.966	26.106
	43.257	93.233	25.990	26.103
	44.274	93.466	25.955	26.120
	45.292	93.469	25.956	26.081
	46.308	93.357	25.950	26.108
	47.323	93.419	25.946	26.108
	48.339	93.514	25.967	26.115
	49.356	93.384	25.945	26.115
	50.371	93.389	25.951	26.093
	51.390	93.405	25.971	26.098
	52.406	93.313	25.970	26.072
	53.424	93.291	25.950	26.084
	54.440	93.286	25.940	26.086
	55.459	93.417	25.956	26.088
	56.477	93.160	25.935	26.071
	57.493	93.239	25.948	26.078
	58.509	93.226	25.941	26.055
	59.525	93.333	25.943	26.075
	60.541	93.308	25.959	26.087
	61.561	93.259	25.931	26.075
	62.578	93.062	25.917	26.076
	63.620	93.177	25.932	26.070
	64.636	93.147	25.926	26.054
	65.653	93.339	25.944	26.065
	66.669	93.301	25.924	26.076
	67.685	93.181	25.914	26.060
	68.700	93.232	25.926	26.068
	69.719	93.258	25.929	26.047
	70.736	93.310	25.920	26.065
	71.756	93.123	25.945	26.067
	72.774	93.198	25.900	26.081
	73.793	93.183	25.931	26.070
	74.810	93.251	25.935	26.057
	75.828	93.140	25.903	26.046
	76.843	93.205	25.915	26.054
	77.859	93.280	25.912	26.043
	78.876	93.250	25.922	26.045
	79.893	93.194	25.883	26.027
	80.911	93.371	25.908	26.057
	81.929	93.056	25.906	26.042
	82.945	93.137	25.916	26.043
	83.962	93.273	25.922	26.064
	84.981	93.211	25.916	26.043
	85.997	93.175	25.905	26.032
	87.015	93.250	25.881	26.035
	88.051	93.291	25.914	26.030
	89.069	93.343	25.892	26.040
	90.087	93.205	25.899	26.043
	91.104	93.250	25.913	26.028
	92.123	93.167	25.915	26.050
	93.139	93.280	25.911	26.029
	94.157	93.308	25.901	26.033
	95.175	93.156	25.904	26.018
	96.207	93.176	25.887	26.026
	97.225	93.080	25.885	26.009
	98.243	93.153	25.913	26.024
	99.258	93.055	25.868	26.030
	100.275	93.253	25.879	26.013
	101.291	93.122	25.888	26.020
	102.312	93.122	25.886	26.022
	103.329	92.995	25.893	26.036
	104.349	93.211	25.876	26.026
	105.366	93.227	25.861	26.035
	106.384	93.222	25.870	26.023
	107.404	93.364	25.856	26.009
	108.422	93.277	25.872	26.015
	109.441	93.219	25.859	26.015
	110.458	93.242	25.867	25.995
	111.478	93.222	25.867	26.008
	112.495	93.155	25.873	26.010
	113.520	93.187	25.858	25.990
	114.537	93.110	25.896	26.026
	115.557	93.294	25.870	26.005
	116.573	93.221	25.863	26.020
	117.592	93.234	25.867	25.987
	118.609	93.387	25.880	26.004
	119.627	93.243	25.845	26.012
	120.647	93.284	25.864	25.995
	121.666	93.311	25.845	25.995
	122.686	93.214	25.869	25.992
	123.703	93.320	25.862	25.997
	124.720	93.322	25.838	26.006
	125.739	93.116	25.852	25.983
	126.758	93.178	25.858	25.990
	127.779	93.054	25.819	26.012
	128.799	93.105	25.853	25.999
	129.818	93.012	25.848	26.001
	130.839	93.086	25.836	25.997
	131.856	93.046	25.873	25.970
	132.879	93.050	25.845	26.017
	133.896	93.377	25.845	25.987
	134.916	92.985	25.866	25.977
	135.931	93.059	25.842	25.981
	136.951	93.191	25.876	26.002
	137.979	92.897	25.839	25.994
	138.998	92.975	25.839	25.973
	140.024	93.143	25.835	25.999
	141.042	93.187	25.835	25.948
	142.061	93.063	25.842	25.974
	143.079	93.224	25.851	25.990
	144.099	93.274	25.861	25.967
	145.122	93.093	25.839	25.979
	146.140	93.159	25.834	25.988
	147.159	93.236	25.827	25.984
	148.179	93.358	25.844	25.975
	149.199	93.064	25.842	25.973
	150.218	93.226	25.824	25.969
	151.238	93.086	25.832	25.994
	152.259	93.308	25.838	25.965
	153.279	93.303	25.827	25.979
	154.315	93.334	25.829	25.979
	155.335	93.156	25.823	25.968
	156.356	93.330	25.835	25.985
	157.381	93.332	25.838	25.967
	158.400	93.194	25.838	25.959
	159.418	93.204	25.829	25.969
	160.439	93.203	25.836	25.971
	161.461	93.324	25.847	25.960
	162.483	93.128	25.820	25.983
	163.503	93.203	25.823	25.977
	164.523	93.110	25.826	25.976
	165.544	93.237	25.824	25.958
	166.562	93.226	25.819	25.951
	167.582	93.269	25.825	25.988
	168.602	93.399	25.811	25.964
	169.627	93.338	25.812	25.985
	170.668	92.910	25.827	25.962
	171.689	93.243	25.829	25.943
	172.709	93.230	25.813	25.948
	173.730	93.290	25.796	25.955
	174.752	93.205	25.805	25.969
	175.797	93.412	25.794	25.972
	176.821	93.295	25.820	25.962
	177.842	93.307	25.820	25.960
	178.861	93.033	25.811	25.956
	179.879	93.159	25.803	25.964
	180.900	93.074	25.808	25.955
	181.957	93.088	25.806	25.971
	182.974	93.060	25.797	25.950
	183.995	93.155	25.803	25.952
	185.015	93.116	25.810	25.947
	186.033	93.109	25.795	25.945
	187.057	93.207	25.802	25.975
	188.078	93.095	25.802	25.973
	189.097	93.195	25.789	25.933
	190.122	93.023	25.833	25.961
	191.141	93.060	25.805	25.949
	192.160	93.137	25.805	25.959
	193.178	93.240	25.802	25.954
	194.200	93.117	25.811	25.928
	195.221	93.008	25.786	25.958
	196.240	93.222	25.793	25.936
	197.258	93.408	25.791	25.956
	198.286	93.375	25.792	25.942
	199.309	93.424	25.776	25.937
	200.329	93.099	25.795	25.943
	201.346	93.144	25.792	25.949
	202.365	93.113	25.806	25.912
	203.384	93.164	25.792	25.930
	204.405	93.148	25.795	25.960
	205.420	93.411	25.796	25.930
	206.440	93.263	25.789	25.943
	207.459	93.119	25.804	25.910
	208.479	93.282	25.765	25.921
	209.502	93.285	25.802	25.932
	210.523	93.209	25.789	25.937
	211.545	93.252	25.786	25.924
	212.565	93.280	25.788	25.939
	213.587	93.453	25.780	25.923
	214.611	93.294	25.777	25.928
	215.633	93.395	25.792	25.947
	216.653	93.330	25.773	25.931
	217.677	93.352	25.782	25.932
	218.691	93.304	25.773	25.918
	219.710	93.159	25.792	25.938
	220.729	93.229	25.791	25.915
	221.748	93.135	25.773	25.913
	222.788	93.077	25.770	25.932
	223.809	93.065	25.763	25.928
	224.827	93.227	25.775	25.928
	225.846	93.353	25.773	25.935
	226.867	93.330	25.788	25.937
	227.889	93.118	25.787	25.931
	228.909	93.364	25.778	25.922
	229.929	93.372	25.770	25.918
	230.946	93.237	25.769	25.915
	231.967	93.141	25.784	25.925
	232.988	93.246	25.783	25.923
	234.006	93.049	25.760	25.934
	235.027	93.081	25.784	25.932
	236.050	93.100	25.807	25.918
	237.070	93.070	25.781	25.919
	238.092	93.047	25.786	25.936
	239.112	93.178	25.780	25.903
	240.130	93.385	25.786	25.910
	241.151	93.270	25.791	25.927
	242.173	93.149	25.780	25.926
	243.195	93.057	25.767	25.912
	244.213	93.192	25.753	25.950
	245.233	93.028	25.785	25.909
	246.251	93.381	25.784	25.934
	247.290	93.296	25.768	25.909
	248.309	93.133	25.773	25.922
	249.331	93.082	25.770	25.933
	250.352	93.110	25.770	25.926
	251.374	93.086	25.766	25.923
	252.396	93.131	25.764	25.937
	253.414	93.054	25.760	25.893
	254.440	93.013	25.775	25.917
	255.461	93.162	25.750	25.937
	256.488	93.348	25.777	25.934
	257.509	93.240	25.773	25.937
	258.530	93.410	25.748	25.901
	259.553	93.219	25.787	25.916
	260.575	93.260	25.768	25.925
	261.598	93.351	25.767	25.911
	262.619	93.324	25.751	25.907
	263.642	93.452	25.760	25.912
	264.660	93.519	25.751	25.910
	265.676	93.523	25.764	25.904
	266.696	93.434	25.765	25.912
	267.727	93.388	25.777	25.906
	268.745	93.251	25.783	25.908
	269.765	93.296	25.767	25.918
	270.783	93.099	25.770	25.909
	271.811	93.347	25.763	25.915
	272.831	93.286	25.742	25.914
	273.852	93.250	25.747	25.908
	274.873	93.317	25.755	25.919
	275.897	93.275	25.765	25.903
	276.918	93.256	25.768	25.912
	277.939	93.110	25.781	25.906
	278.959	93.236	25.759	25.905
	279.989	93.268	25.762	25.913
	281.017	93.326	25.747	25.925
	282.043	93.113	25.762	25.903
	283.069	93.148	25.761	25.913
	284.102	93.121	25.759	25.915
	285.135	93.138	25.757	25.902
	286.170	93.196	25.738	25.903
	287.195	93.056	25.730	25.912
	288.221	93.093	25.748	25.904
	289.250	93.323	25.746	25.903
	290.279	93.394	25.738	25.914
	291.307	93.246	25.760	25.902
	292.342	93.066	25.765	25.910
	293.371	93.278	25.759	25.908
	294.402	93.101	25.742	25.917
	295.440	92.934	25.782	25.894
	296.471	93.181	25.746	25.908
	297.501	93.182	25.743	25.892
	298.526	93.208	25.757	25.894
	299.553	93.163	25.736	25.897
	300.577	93.255	25.760	25.882
	301.602	93.145	25.740	25.903
	302.630	93.074	25.733	25.907
	303.661	93.309	25.755	25.894
	304.688	93.182	25.757	25.894
	305.715	93.463	25.734	25.893
	306.746	93.373	25.766	25.893
	307.774	92.944	25.756	25.899
	308.804	93.230	25.751	25.882
	309.845	93.202	25.743	25.895
	310.874	93.215	25.751	25.893
	311.893	93.311	25.733	25.890
	312.954	93.115	25.753	25.906
	313.999	92.983	25.739	25.904
	315.025	93.221	25.748	25.885
	316.051	93.199	25.723	25.904
	317.075	92.976	25.731	25.883
	318.103	93.012	25.752	25.873
	319.133	93.187	25.739	25.874
	320.166	93.363	25.736	25.886
	321.205	93.367	25.710	25.910
	322.239	93.292	25.747	25.880
	323.272	93.224	25.736	25.890
